seed,variant,group_family,group,patient_count,positive_count,negative_count,validation_auc,positive_recall,mean_probability_change_vs_official,c17_tp_to_variant_fn,c17_fn_to_variant_tp,variant_inversions_within_group,official_inversions_within_group,strong_inference_allowed
0,V4_latest_only,conflict_group,single_visit,32,16.0,16.0,0.9140625,0.875,0.0,1.0,2.0,22.0,22.0,True
0,V4_latest_only,conflict_group,multi_visit_low_conflict,39,14.0,25.0,0.8371428571428572,0.8571428571428571,0.01904395084159497,0.0,1.0,57.0,40.0,True
0,V4_latest_only,conflict_group,multi_visit_medium_conflict,23,17.0,6.0,0.803921568627451,0.9411764705882353,0.11252829076155373,1.0,6.0,20.0,10.0,True
0,V4_latest_only,conflict_group,multi_visit_high_conflict,0,,,,,,,,,,
0,V4_latest_only,text_evidence_group,single_visit,32,16.0,16.0,0.9140625,0.875,0.0,1.0,2.0,22.0,22.0,True
0,V4_latest_only,text_evidence_group,latest_positive_like_history_negative_like,19,11.0,8.0,0.8409090909090908,0.9090909090909091,0.0026605909102057185,0.0,0.0,14.0,0.0,True
0,V4_latest_only,text_evidence_group,latest_negative_like_history_positive_like,3,1.0,2.0,0.0,0.0,-0.31514642263452214,1.0,0.0,2.0,1.0,False
0,V4_latest_only,text_evidence_group,latest_history_mixed_or_uncertain,40,19.0,21.0,0.8646616541353384,0.9473684210526315,0.10564382027368993,0.0,7.0,54.0,57.0,True
0,V5_history_mean_only,conflict_group,single_visit,0,,,,,,,,,,
0,V5_history_mean_only,conflict_group,multi_visit_low_conflict,39,14.0,25.0,0.7457142857142857,0.35714285714285715,-0.09802963718389854,7.0,1.0,89.0,40.0,True
